id,date_listed,community,zone,lat,lon,property_category,property_type,bedrooms,area_sqft,area_m2,view,furnishing,chiller_included,parking_spaces,metro_station,metro_line,metro_distance_min,to_burj_khalifa_km,contract_type,n_cheques,annual_rent_usd,rent_per_sqft_usd,rent_per_m2_usd
R000001,2024-12-20,Town Square,Nshama,25.02906,55.2561,apartment,1BR,1,748,69.5,burj_khalifa,unfurnished,False,1,Centrepoint,Red,373,18.79,yearly,6,13700,18,196
R000002,2021-07-06,Expo City,Dubai South,24.96152,55.15759,apartment,1BR,1,1011,93.9,marina,fully_furnished,False,2,Expo 2020,Red,7,28.73,yearly,6,12700,12,135
R000003,2023-05-10,Palm Jumeirah,Palm Jumeirah,25.10836,55.13304,apartment,1BR,1,825,76.6,park,fully_furnished,False,2,Mashreq Bank,Red,44,17.32,yearly,1,59900,72,782
R000004,2021-12-30,Deira,Deira,25.2872,55.30205,apartment,1BR,1,755,70.1,community,fully_furnished,False,1,Al Jafiliya,Red,62,10.39,yearly,1,9300,12,133
R000005,2023-12-08,The Views,The Greens,25.08438,55.18399,apartment,1BR,1,746,69.3,city,semi_furnished,False,1,Dubai Internet City,Red,5,15.5,short_term,12,31300,41,451
R000006,2024-02-18,Jumeirah 1,Jumeirah,25.23999,55.26745,apartment,1BR,1,884,82.1,community,fully_furnished,False,1,Etisalat,Green,143,4.81,yearly,1,44000,49,535
R000007,2022-04-25,Bluewaters Island,Dubai Marina,25.07955,55.12525,apartment,3BR,3,1572,146.0,community,fully_furnished,True,1,Union (G),Green,340,19.91,yearly,1,87800,55,601
R000008,2025-03-09,Reem Mira,Reem,25.04982,55.28367,villa,4BR_villa,4,5575,517.9,city,fully_furnished,False,4,Discovery Gardens,Red,157,16.41,yearly,6,140700,25,272
R000009,2021-07-01,City Walk,Al Wasl,25.20275,55.25313,apartment,3BR,3,1761,163.6,city,unfurnished,True,1,Burj Khalifa/Dubai Mall,Red,18,2.23,yearly,2,71700,40,438
R000010,2021-03-17,Jumeirah Bay Island,Jumeirah,25.20633,55.26826,villa,4BR_villa,4,4462,414.6,city,semi_furnished,False,2,Burj Khalifa/Dubai Mall,Red,33,1.19,yearly,4,310400,69,749
